iter	CrossEntropy
0	0.6929888784
1	0.6903798567
2	0.6852656625
3	0.6626346727
4	0.6625216817
5	0.6624152443
6	0.659780135
7	0.6552519968
8	0.6551640581
9	0.6484367271
10	0.6348132178
11	0.6289741556
12	0.6210657088
13	0.621007123
14	0.6209518537
15	0.6189334164
16	0.618885967
17	0.5973081835
18	0.5948475892
19	0.594804511
20	0.59181047
21	0.5869760358
22	0.5851230938
23	0.5850900266
24	0.5850590611
25	0.5850299819
26	0.5771353689
27	0.5678974982
28	0.567877292
29	0.5644536036
30	0.5603769206
31	0.5571752488
32	0.5571609365
33	0.5559845689
34	0.5559723093
35	0.5482070209
36	0.5481967065
37	0.5481868292
38	0.5481775617
39	0.5481687546
40	0.53933424
41	0.537700043
42	0.5376933603
43	0.5366536682
44	0.5208537855
45	0.5196060639
46	0.5195984924
47	0.5142420337
48	0.5142363857
49	0.5036108338
50	0.4959393251
51	0.4944326079
52	0.4867155022
53	0.4805815987
54	0.4771137316
55	0.4771100447
56	0.4771062873
57	0.4739988899
58	0.4708747029
59	0.47087293
60	0.4701937107
61	0.4701920201
62	0.4647878876
63	0.4647865256
64	0.4638296228
65	0.4638286306
66	0.4638274372
67	0.4638264474
68	0.4619438331
69	0.4619428262
70	0.4608314442
71	0.4608306116
72	0.4572262503
73	0.4549598711
74	0.4549595276
75	0.4501430106
76	0.4418258013
77	0.4418256974
78	0.4418251243
79	0.4418246284
80	0.4418243848
81	0.4375785823
82	0.4350705416
83	0.4333646336
84	0.4333644066
85	0.4316981329
86	0.4316982132
87	0.4316981898
88	0.4289808128
89	0.4276673269
90	0.4258854429
91	0.4258853035
92	0.4222263144
93	0.422226195
94	0.4222263083
95	0.4154066404
96	0.4154065854
97	0.415406586
98	0.4154066
99	0.4154066371
100	0.4147468626
101	0.4128243032
102	0.4128246695
103	0.4128242361
104	0.4128242895
105	0.4128241972
106	0.4128243511
107	0.4127144485
108	0.4127144872
109	0.4125993842
110	0.4087940694
111	0.4076826888
112	0.404242169
113	0.3996179452
114	0.397140596
115	0.397140613
116	0.3946447039
117	0.3946449795
118	0.3946449244
119	0.3946448762
120	0.3903452051
121	0.3903452522
122	0.3880017709
123	0.3880018572
124	0.3851465151
125	0.3833091408
126	0.3823862612
127	0.3823863067
128	0.3823530577
129	0.3823530266
130	0.3816262465
131	0.3816264358
132	0.379930984
133	0.3787874176
134	0.3783374738
135	0.3776661745
136	0.3776637089
137	0.3776634121
138	0.3744008618
139	0.3744007732
140	0.374150287
141	0.37415
142	0.3741499184
143	0.3740063293
144	0.3740063607
145	0.3740064961
146	0.3737352593
147	0.3718445179
148	0.3698666962
149	0.3662783573
150	0.3662784027
151	0.3656683046
152	0.3646886733
153	0.364688765
154	0.3635284495
155	0.3635282058
156	0.363528259
157	0.3612145421
158	0.3612144942
159	0.3606682612
160	0.3601725378
161	0.3578090085
162	0.3573849409
163	0.3565931625
164	0.3565929434
165	0.3565929827
166	0.3565931478
167	0.356593028
168	0.3565930746
169	0.3553553101
170	0.3553552754
171	0.3553554178
172	0.3549647949
173	0.354221481
174	0.3542215964
175	0.353793145
176	0.3533480554
177	0.3524409381
178	0.3524411291
179	0.3524411767
180	0.3524409398
181	0.352440845
182	0.3520471183
183	0.3504326908
184	0.3503934121
185	0.3503935992
186	0.3498911858
187	0.3498911043
188	0.3495624031
189	0.3495625201
190	0.3495626487
191	0.3493668427
192	0.3493667922
193	0.3485230524
194	0.3477427588
195	0.3455651448
196	0.3455652732
197	0.3452815603
198	0.3452816727
199	0.3452816943
200	0.3452817998
201	0.3450150263
202	0.3450151768
203	0.3445016928
204	0.3434125021
205	0.342738248
206	0.3427381048
207	0.342569694
208	0.3393248603
209	0.3393249547
210	0.3390909359
211	0.3386693367
212	0.3365427904
213	0.3362342688
214	0.3362343775
215	0.33603823
216	0.3360313949
217	0.3349990287
218	0.3345923698
219	0.3345922286
220	0.3345920438
221	0.3338616579
222	0.3334853948
223	0.3334854667
224	0.3334854762
225	0.3332735712
226	0.3322118323
227	0.332211775
228	0.3322115917
229	0.3315282103
230	0.3315284022
231	0.3315282617
232	0.3308882781
233	0.3297014538
234	0.3291710634
235	0.3291709596
236	0.3291709168
237	0.3289275727
238	0.3285396
239	0.3281286431
240	0.3281288424
241	0.3272147324
242	0.3268310554
243	0.3253550608
244	0.3244690668
245	0.3243529761
246	0.3229620404
247	0.3229620304
248	0.3226552627
249	0.3226553832
250	0.3226551988
251	0.3226552189
252	0.3225329408
253	0.3221630532
254	0.3219720746
255	0.3215375285
256	0.3214219724
257	0.3214220564
258	0.3214221649
259	0.3213305793
260	0.3202370636
261	0.3196675013
262	0.3180528636
263	0.3179101643
264	0.3164560035
265	0.3161506865
266	0.3150409546
267	0.3150410514
268	0.3150412897
269	0.3150409917
270	0.3146534299
271	0.3146086643
272	0.3144731304
273	0.3144730737
274	0.3133311184
275	0.3133093981
276	0.3130321122
277	0.312474047
278	0.3124158105
279	0.3124159186
280	0.3124158977
281	0.3124157262
282	0.3123253625
283	0.3123253455
284	0.3123252979
285	0.3115396022
286	0.311539416
287	0.3115393711
288	0.3114944555
289	0.3114944203
290	0.3114944323
291	0.3113858718
292	0.3113333404
293	0.3112206057
294	0.3112204228
295	0.3107102582
296	0.3107103297
297	0.3103087029
298	0.3100875122
299	0.3100874887
300	0.3098797554
301	0.309880042
302	0.3097665539
303	0.3097664415
304	0.3096904064
305	0.3093945564
306	0.3093462013
307	0.3093016162
308	0.3093014529
309	0.3090280685
310	0.3088747311
311	0.3088746866
312	0.3088747476
313	0.3087975754
314	0.3087974598
315	0.3087049497
316	0.3084091878
317	0.3084090838
318	0.3078519544
319	0.3078520537
320	0.30783792
321	0.3078379817
322	0.3076257933
323	0.3055231609
324	0.305522987
325	0.3053158891
326	0.3053145181
327	0.3044462531
328	0.3043911003
329	0.3042985452
330	0.3042983765
331	0.3020257468
332	0.3020257029
333	0.3015183883
334	0.3014753728
335	0.3012642371
336	0.3005044035
337	0.2998002783
338	0.2997718393
339	0.2996369443
340	0.2995901124
341	0.2995536359
342	0.2995411269
343	0.2995411648
344	0.2987322839
345	0.2972544324
346	0.2972544706
347	0.2970498735
348	0.2970500178
349	0.2964944005
