iter	Passed	Remaining
0	0	240
1	0	243
2	0	234
3	1	255
4	1	234
5	1	219
6	1	216
7	1	222
8	1	215
9	2	216
10	2	261
11	3	260
12	3	262
13	3	255
14	3	250
15	4	249
16	4	243
17	4	253
18	4	251
19	5	245
20	5	248
21	5	247
22	5	247
23	5	243
24	6	240
25	6	236
26	6	245
27	7	250
28	7	247
29	7	246
30	7	244
31	8	242
32	8	239
33	8	237
34	8	235
35	8	237
36	9	234
37	9	232
38	9	229
39	9	227
40	9	232
41	10	232
42	10	229
43	10	230
44	10	232
45	11	231
46	11	229
47	11	231
48	11	229
49	12	231
50	12	236
51	12	235
52	13	236
53	13	234
54	13	235
55	13	235
56	14	234
57	14	235
58	14	237
59	15	236
60	15	235
61	15	233
62	15	232
63	15	231
64	16	230
65	16	228
66	16	226
67	16	224
68	16	224
69	16	222
70	16	222
71	17	221
72	17	220
73	17	219
74	17	218
75	18	221
76	18	222
77	18	221
78	18	220
79	19	218
80	19	217
81	19	217
82	19	217
83	19	217
84	20	215
85	20	215
86	20	213
87	20	212
88	20	212
89	20	211
90	21	211
91	21	210
92	21	209
93	21	208
94	21	207
95	22	207
96	22	206
97	22	205
98	22	204
99	22	203
100	22	202
101	22	202
102	23	201
103	23	201
104	23	200
105	23	199
106	23	198
107	23	197
108	24	196
109	24	196
110	24	195
111	24	195
112	24	195
113	25	197
114	25	196
115	25	195
116	26	196
117	26	195
118	26	194
119	26	194
120	26	194
121	26	193
122	27	193
123	27	192
124	27	191
125	27	191
126	27	191
127	27	190
128	28	190
129	28	189
130	28	189
131	28	188
132	28	188
133	29	187
134	29	187
135	29	187
136	29	187
137	29	186
138	30	186
139	30	186
140	30	185
141	30	185
142	30	184
143	30	184
144	31	183
145	31	182
146	31	182
147	31	183
148	32	183
149	32	183
150	32	182
151	32	182
152	32	182
153	33	181
154	33	181
155	33	180
156	33	180
157	33	181
158	34	180
159	34	180
160	34	179
161	34	180
162	35	180
163	35	180
164	35	179
165	35	178
166	35	178
167	35	177
168	35	176
169	36	176
170	36	175
171	36	175
172	36	174
173	36	174
174	36	174
175	37	173
176	37	173
177	37	173
178	37	173
179	38	173
180	38	172
181	38	172
182	38	172
183	38	172
184	38	171
185	39	171
186	39	170
187	39	170
188	39	169
189	39	169
190	39	168
191	39	168
192	40	167
193	40	167
194	40	167
195	40	167
196	41	167
197	41	166
198	41	166
199	41	166
200	41	165
201	41	165
202	41	164
203	42	164
204	42	164
205	42	164
206	42	163
207	42	163
208	43	163
209	43	163
210	43	163
211	43	162
212	44	163
213	44	162
214	44	162
215	44	162
216	44	161
217	45	161
218	45	161
219	45	161
220	45	160
221	45	160
222	46	160
223	46	159
224	46	159
225	46	158
226	46	159
227	46	158
228	46	158
229	47	158
230	47	157
231	47	157
232	47	157
233	47	157
234	48	156
235	48	156
236	48	155
237	48	155
238	48	155
239	49	155
240	49	155
241	49	154
242	49	154
243	50	154
244	50	155
245	50	154
246	50	154
247	50	154
248	51	154
249	51	153
250	51	153
251	51	152
252	51	152
253	51	152
254	51	151
255	52	151
256	52	151
257	52	150
258	52	150
259	52	149
260	52	149
261	53	149
262	53	149
263	53	149
264	53	149
265	53	148
266	54	148
267	54	148
268	54	147
269	54	147
270	54	147
271	54	146
272	55	146
273	55	146
274	55	145
275	55	145
276	55	145
277	55	145
278	56	144
279	56	144
280	56	143
281	56	143
282	56	143
283	56	142
284	56	142
285	57	142
286	57	141
287	57	141
288	57	141
289	57	140
290	57	140
291	57	139
292	57	139
293	58	139
294	58	138
295	58	138
296	58	138
297	58	138
298	58	138
299	58	137
300	59	137
301	59	136
302	59	136
303	59	136
304	59	135
305	59	135
306	59	135
307	60	135
308	60	134
309	60	134
310	60	134
311	60	133
312	60	133
313	60	133
314	61	132
315	61	132
316	61	132
317	61	132
318	61	131
319	61	131
320	62	131
321	62	130
322	62	130
323	62	130
324	62	130
325	62	130
326	63	129
327	63	129
328	63	129
329	63	129
330	63	128
331	64	129
332	64	128
333	64	128
334	64	128
335	65	128
336	65	128
337	65	128
338	66	128
339	66	128
340	66	128
341	66	128
342	67	128
343	67	128
344	67	128
345	68	129
346	68	128
347	68	128
348	68	128
349	69	128
350	69	128
351	69	128
352	70	128
353	70	129
354	70	128
355	71	128
356	71	128
357	71	128
358	72	128
359	72	128
360	72	128
361	72	128
362	73	128
363	73	127
364	73	127
365	73	127
366	73	127
367	73	126
368	74	126
369	74	126
370	74	125
371	74	125
372	74	125
373	74	125
374	75	125
375	75	124
376	75	125
377	76	125
378	76	124
379	76	125
380	76	124
381	77	124
382	77	125
383	78	125
384	78	125
385	78	125
386	78	124
387	79	124
388	79	124
389	79	124
390	80	124
391	80	124
392	80	123
393	80	123
394	80	123
395	81	123
396	81	123
397	81	122
398	81	122
399	81	122
400	81	121
401	81	121
402	81	121
403	82	121
404	82	120
405	82	120
406	82	120
407	82	119
408	82	119
409	83	119
410	83	119
411	83	119
412	83	119
413	83	118
414	84	118
415	84	118
416	84	118
417	84	117
418	84	117
419	84	117
420	85	117
421	85	116
422	85	116
423	85	116
424	85	116
425	86	116
426	86	115
427	86	115
428	86	115
429	86	115
430	87	115
431	87	115
432	88	115
433	88	115
434	88	115
435	89	115
436	89	115
437	89	115
438	89	114
439	90	114
440	90	114
441	90	114
442	90	114
443	91	114
444	91	113
445	91	113
446	91	113
447	91	113
448	91	112
449	92	112
450	92	112
451	92	112
452	92	111
453	92	111
454	92	111
455	93	111
456	93	110
457	93	110
458	93	110
459	93	110
460	93	109
461	94	109
462	94	109
463	95	109
464	95	109
465	95	109
466	95	109
467	95	108
468	96	108
469	96	108
470	96	108
471	96	108
472	97	108
473	97	107
474	97	107
475	97	107
476	97	107
477	98	107
478	98	107
479	98	106
480	98	106
481	99	106
482	99	106
483	99	106
484	99	105
485	99	105
486	100	105
487	100	105
488	100	105
489	100	104
490	100	104
491	101	104
492	101	104
493	101	103
494	101	103
495	101	103
496	102	103
497	102	103
498	102	102
499	102	102
500	102	102
501	102	102
502	103	101
503	103	101
504	103	101
505	103	101
506	103	101
507	104	100
508	104	100
509	104	100
510	104	100
511	104	100
512	105	99
513	105	99
514	105	99
515	105	99
516	105	99
517	106	98
518	106	98
519	106	98
520	106	98
521	107	98
522	107	97
523	107	97
524	107	97
525	108	97
526	108	97
527	108	97
528	108	96
529	108	96
530	109	96
531	109	96
532	109	95
533	109	95
534	109	95
535	110	95
536	110	95
537	110	94
538	110	94
539	110	94
540	111	94
541	111	94
542	111	93
543	111	93
544	112	93
545	112	93
546	112	93
547	112	92
548	112	92
549	113	92
550	113	92
551	113	91
552	113	91
553	113	91
554	113	91
555	114	91
556	114	90
557	114	90
558	114	90
559	114	90
560	115	90
561	115	89
562	115	89
563	115	89
564	116	89
565	116	89
566	116	88
567	116	88
568	116	88
569	116	88
570	117	87
571	117	87
572	117	87
573	117	87
574	117	86
575	117	86
576	118	86
577	118	86
578	118	86
579	118	85
580	119	85
581	119	85
582	119	85
583	119	85
584	119	84
585	119	84
586	120	84
587	120	84
588	120	84
589	120	83
590	120	83
591	121	83
592	121	83
593	121	82
594	121	82
595	122	82
596	122	82
597	122	82
598	122	82
599	122	81
600	123	81
601	123	81
602	123	81
603	123	81
604	123	80
605	123	80
606	124	80
607	124	80
608	124	80
609	125	80
610	125	79
611	125	79
612	125	79
613	126	79
614	126	79
615	126	78
616	126	78
617	126	78
618	126	78
619	127	77
620	127	77
621	127	77
622	127	77
623	127	76
624	127	76
625	127	76
626	128	76
627	128	76
628	128	75
629	128	75
630	129	75
631	129	75
632	129	75
633	129	74
634	129	74
635	130	74
636	130	74
637	130	74
638	130	73
639	131	73
640	131	73
641	131	73
642	131	73
643	131	72
644	132	72
645	132	72
646	132	72
647	132	72
648	132	71
649	132	71
650	133	71
651	133	71
652	133	70
653	133	70
654	133	70
655	133	70
656	133	69
657	133	69
658	134	69
659	134	69
660	134	69
661	134	68
662	135	68
663	135	68
664	135	68
665	135	68
666	135	67
667	136	67
668	136	67
669	136	67
670	136	67
671	137	66
672	137	66
673	137	66
674	137	66
675	137	66
676	137	65
677	138	65
678	138	65
679	138	65
680	138	64
681	138	64
682	138	64
683	139	64
684	139	64
685	139	63
686	139	63
687	139	63
688	140	63
689	140	63
690	140	62
691	141	62
692	141	62
693	141	62
694	141	62
695	141	62
696	142	61
697	142	61
698	143	61
699	143	61
700	143	61
701	143	61
702	143	60
703	143	60
704	144	60
705	144	60
706	144	59
707	144	59
708	144	59
709	145	59
710	145	59
711	145	58
712	145	58
713	145	58
714	145	58
715	146	57
716	146	57
717	146	57
718	146	57
719	146	57
720	147	56
721	147	56
722	147	56
723	147	56
724	147	56
725	147	55
726	148	55
727	148	55
728	148	55
729	148	55
730	149	54
731	149	54
732	149	54
733	149	54
734	149	53
735	149	53
736	150	53
737	150	53
738	150	53
739	150	52
740	150	52
741	150	52
742	151	52
743	151	52
744	151	51
745	151	51
746	151	51
747	151	51
748	151	50
749	152	50
750	152	50
751	152	50
752	152	50
753	152	49
754	152	49
755	153	49
756	153	49
757	153	48
758	153	48
759	153	48
760	153	48
761	153	48
762	154	47
763	154	47
764	154	47
765	154	47
766	155	47
767	155	46
768	155	46
769	155	46
770	155	46
771	156	46
772	156	45
773	156	45
774	156	45
775	156	45
776	156	45
777	157	44
778	157	44
779	157	44
780	157	44
781	157	43
782	157	43
783	157	43
784	158	43
785	158	43
786	158	42
787	158	42
788	158	42
789	158	42
790	158	41
791	159	41
792	159	41
793	159	41
794	159	41
795	159	40
796	159	40
797	159	40
798	159	40
799	160	40
800	160	39
801	160	39
802	160	39
803	160	39
804	160	38
805	160	38
806	161	38
807	161	38
808	161	38
809	161	37
810	161	37
811	161	37
812	162	37
813	162	37
814	162	36
815	162	36
816	162	36
817	163	36
818	163	36
819	163	35
820	163	35
821	164	35
822	164	35
823	164	35
824	164	34
825	164	34
826	164	34
827	164	34
828	165	34
829	165	33
830	165	33
831	165	33
832	165	33
833	166	33
834	166	32
835	166	32
836	166	32
837	166	32
838	166	31
839	166	31
840	166	31
841	167	31
842	167	31
843	167	30
844	167	30
845	167	30
846	167	30
847	168	30
848	168	29
849	168	29
850	168	29
851	168	29
852	168	29
853	169	28
854	169	28
855	169	28
856	169	28
857	169	28
858	170	27
859	170	27
860	170	27
861	170	27
862	170	27
863	171	26
864	171	26
865	171	26
866	171	26
867	172	26
868	172	25
869	172	25
870	172	25
871	172	25
872	172	25
873	173	24
874	173	24
875	173	24
876	173	24
877	173	24
878	173	23
879	174	23
880	174	23
881	174	23
882	174	23
883	174	22
884	174	22
885	175	22
886	175	22
887	175	22
888	175	21
889	176	21
890	176	21
891	176	21
892	176	21
893	176	20
894	177	20
895	177	20
896	177	20
897	177	20
898	177	19
899	177	19
900	178	19
901	178	19
902	178	19
903	178	18
904	178	18
905	179	18
906	179	18
907	179	18
908	179	17
909	179	17
910	179	17
911	180	17
912	180	17
913	180	16
914	180	16
915	180	16
916	180	16
917	181	16
918	181	15
919	181	15
920	181	15
921	181	15
922	181	15
923	182	14
924	182	14
925	182	14
926	182	14
927	182	14
928	183	13
929	183	13
930	183	13
931	183	13
932	184	13
933	184	13
934	184	12
935	184	12
936	184	12
937	184	12
938	184	12
939	185	11
940	185	11
941	185	11
942	185	11
943	186	11
944	186	10
945	186	10
946	186	10
947	186	10
948	187	10
949	187	9
950	187	9
951	187	9
952	187	9
953	187	9
954	188	8
955	188	8
956	188	8
957	188	8
958	188	8
959	189	7
960	189	7
961	189	7
962	189	7
963	189	7
964	190	6
965	190	6
966	190	6
967	190	6
968	190	6
969	190	5
970	190	5
971	191	5
972	191	5
973	191	5
974	191	4
975	192	4
976	192	4
977	192	4
978	192	4
979	192	3
980	192	3
981	192	3
982	193	3
983	193	3
984	193	2
985	193	2
986	193	2
987	193	2
988	194	2
989	194	1
990	194	1
991	194	1
992	194	1
993	194	1
994	195	0
995	195	0
996	195	0
997	195	0
998	195	0
999	196	0
